        1024	N     397.22	S    1897.35	(  4.78)	N     395.65	S    1988.27	(  5.03)
        4096	N     391.02	S    1892.04	(  4.84)	N     397.44	S    1965.61	(  4.95)
       32768	N     390.51	S    1875.80	(  4.80)	N     398.29	S    1910.01	(  4.80)
      131072	N     388.65	S    1919.23	(  4.94)	N     398.18	S    1900.34	(  4.77)
      524288	N     386.85	S    1905.45	(  4.93)	N     396.51	S    1905.34	(  4.81)
     1048576	N     384.75	S    1846.74	(  4.80)	N     395.39	S    1897.43	(  4.80)
     2097152	N     377.56	S    1362.03	(  3.61)	N     394.22	S    1785.10	(  4.53)
     4194304	N     371.70	S    1017.76	(  2.74)	N     391.11	S    1371.32	(  3.51)
     8388608	N     369.00	S     924.83	(  2.51)	N     388.75	S    1209.34	(  3.11)
