 1 ,  331 ,    5 ,   97.364
 1 ,  331 ,    5 ,  102.674
 1 ,  331 ,    5 ,  102.872
 1 ,  331 ,    5 ,  100.400
 1 ,  331 ,    5 ,  100.176
 1 ,  331 ,    5 ,  102.375
 1 ,  331 ,    5 ,  100.394
 1 ,  331 ,    5 ,   99.982
 1 ,  331 ,    5 ,  102.534
 1 ,  331 ,    5 ,  100.492
 2 ,  331 ,    5 ,   62.352
 2 ,  331 ,    5 ,   57.308
 2 ,  331 ,    5 ,   48.645
 2 ,  331 ,    5 ,   54.787
 2 ,  331 ,    5 ,   48.426
 2 ,  331 ,    5 ,   47.522
 2 ,  331 ,    5 ,   52.525
 2 ,  331 ,    5 ,   63.949
 2 ,  331 ,    5 ,   55.253
 2 ,  331 ,    5 ,   53.093
 4 ,  331 ,    5 ,   41.359
 4 ,  331 ,    5 ,   41.688
 4 ,  331 ,    5 ,   44.186
 4 ,  331 ,    5 ,   41.349
 4 ,  331 ,    5 ,   41.688
 4 ,  331 ,    5 ,   39.321
 4 ,  331 ,    5 ,   42.540
 4 ,  331 ,    5 ,   41.134
 4 ,  331 ,    5 ,   37.890
 4 ,  331 ,    5 ,   42.416
 6 ,  331 ,    5 ,   32.878
 6 ,  331 ,    5 ,   31.773
 6 ,  331 ,    5 ,   37.618
 6 ,  331 ,    5 ,   32.092
 6 ,  331 ,    5 ,   40.945
 6 ,  331 ,    5 ,   33.178
 6 ,  331 ,    5 ,   32.526
 6 ,  331 ,    5 ,   32.957
 6 ,  331 ,    5 ,   39.198
 6 ,  331 ,    5 ,   34.330
 8 ,  331 ,    5 ,   33.134
 8 ,  331 ,    5 ,   38.461
 8 ,  331 ,    5 ,   34.958
 8 ,  331 ,    5 ,   36.300
 8 ,  331 ,    5 ,   32.926
 8 ,  331 ,    5 ,   32.983
 8 ,  331 ,    5 ,   35.384
 8 ,  331 ,    5 ,   31.854
 8 ,  331 ,    5 ,   35.775
 8 ,  331 ,    5 ,   35.165
