 1 ,        1 ,   0.00 ,   3.70
 1 ,       10 ,   0.00 ,  30.49
 1 ,      100 ,   0.00 ,  90.74
 1 ,     1000 ,   0.90 , 110.67
 1 ,    10000 ,   1.29 , 111.37
 1 ,   100000 ,   1.23 , 111.64
 1 ,   500000 ,   1.29 , 110.27
 1 ,  1000000 ,   1.31 , 111.39
 2 ,        1 ,   0.00 ,   2.03
 2 ,       10 ,   0.00 ,  18.62
 2 ,      100 ,   3.00 , 106.04
 2 ,     1000 ,   1.80 , 203.46
 2 ,    10000 ,   1.25 , 221.27
 2 ,   100000 ,   1.31 , 222.60
 2 ,   500000 ,   1.32 , 222.82
 2 ,  1000000 ,   1.32 , 207.37
 4 ,        1 ,   0.00 ,   1.35
 4 ,       10 ,   0.00 ,  12.38
 4 ,      100 ,   0.00 ,  99.01
 4 ,     1000 ,   1.30 , 334.34
 4 ,    10000 ,   1.23 , 425.12
 4 ,   100000 ,   1.27 , 434.40
 4 ,   500000 ,   1.31 , 434.98
 4 ,  1000000 ,   1.31 , 434.91
 6 ,        1 ,   0.00 ,   0.93
 6 ,       10 ,   0.00 ,   9.10
 6 ,      100 ,   0.00 ,  79.18
 6 ,     1000 ,   1.70 , 380.52
 6 ,    10000 ,   1.25 , 588.34
 6 ,   100000 ,   1.33 , 618.28
 6 ,   500000 ,   1.34 , 620.35
 6 ,  1000000 ,   1.34 , 618.77
 8 ,        1 ,   0.00 ,   1.11
 8 ,       10 ,   0.00 ,  11.34
 8 ,      100 ,   1.00 ,  91.66
 8 ,     1000 ,   1.30 , 337.95
 8 ,    10000 ,   1.41 , 430.00
 8 ,   100000 ,   1.24 , 442.76
 8 ,   500000 ,   1.29 , 443.70
 8 ,  1000000 ,   1.30 , 443.91
